elu,sigle,parti,ordre,suffrages,id,liste_id,nom,photoUrl,sexe
1,PLR,LIBÉRAUX-RADICAUX,1,27217,10015,104,MAUDET Pierre,MAUDET_Pierre.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,2,24573,10018,104,FONTANET Nathalie,FONTANET_Nathalie.jpg,1
1,PLR,LIBÉRAUX-RADICAUX,3,22379,10019,104,DE SENARCLENS Alexandre,DE_SENARCLENS_Alexandre.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,4,21876,10220,104,HILTPOLD Serge,HILTPOLD_Serge.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,5,21682,10202,104,DE MONTMOLLIN Simone,DE_MONTMOLLIN_Simone.jpg,1
1,PLR,LIBÉRAUX-RADICAUX,6,21627,10203,104,MOREL Philippe,MOREL_Philippe.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,7,21499,10205,104,SAUDAN Patrick,SAUDAN_Patrick.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,8,21415,10212,104,AELLEN Cyril,AELLEN_Cyril.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,9,21164,10217,104,DE CANDOLLE Beatriz,DE_CANDOLLE_Beatriz.jpg,1
1,PLR,LIBÉRAUX-RADICAUX,10,21132,10209,104,WICKY Raymond,WICKY_Raymond.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,11,21107,10208,104,VUILLOD Georges,VUILLOD_Georges.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,12,21026,10204,104,PUTALLAZ Jean (Jean ROMAIN),PUTALLAZ_Jean.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,13,21021,10215,104,BARDE Antoine,BARDE_Antoine.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,14,20921,10264,104,GENECAND Adrien,GENECAND_Adrien.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,15,20918,10213,104,ALDER Murat Julian,ALDER_Murat_Julian.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,16,20892,10218,104,CONNE Pierre,CONNE_Pierre.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,17,20889,10216,104,BÉNÉ Jacques,BENE_Jacques.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,18,20542,10247,104,BARBIER-MUELLER Diane,BARBIER-MUELLER_Diane.jpg,1
1,PLR,LIBÉRAUX-RADICAUX,19,20522,10210,104,ZUBER Céline (ROY),ZUBER_Celine.jpg,1
1,PLR,LIBÉRAUX-RADICAUX,20,20506,10229,104,DE PLANTA Francine,DE_PLANTA_Francine.jpg,1
1,PLR,LIBÉRAUX-RADICAUX,21,20445,10211,104,ZWEIFEL Yvan,ZWEIFEL_Yvan.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,22,20430,10219,104,CUENDET Edouard,CUENDET_Edouard.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,23,20406,10222,104,MONBARON Fabienne (MONBARON-STRESS),MONBARON_Fabienne.jpg,1
1,PLR,LIBÉRAUX-RADICAUX,24,20335,10243,104,WOLFISBERG François,WOLFISBERG_Francois.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,25,20319,10241,104,WAVRE Rolin,WAVRE_Rolin.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,26,20309,10206,104,SELLEGER Charles,SELLEGER_Charles.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,27,20173,10224,104,NICOLLIER Pierre,NICOLLIER_Pierre.jpg,0
1,PLR,LIBÉRAUX-RADICAUX,28,20147,10270,104,KÄMPFEN Véronique,KAMPFEN_Veronique.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,29,20110,10214,104,BARBEY Alexis,BARBEY_Alexis.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,30,20095,10253,104,BRANDT Simon,BRANDT_Simon.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,31,20051,10239,104,SUBILIA Vincent,SUBILIA_Vincent.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,32,20046,10245,104,APOTHÉLOZ Jacques,APOTHELOZ_Jacques.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,33,20022,10268,104,JAY Sylvie,JAY_Sylvie.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,34,20018,10261,104,DESFAYES Natacha (BUFFET-DESFAYES),DESFAYES_Natacha.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,35,20008,10263,104,FISS Joëlle,FISS_Joelle.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,35,20008,10221,104,MALEK-ASGHAR Patrick,MALEK-ASGHAR_Patrick.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,37,19993,10227,104,PASQUIER Jean-Pierre,PASQUIER_Jean-Pierre.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,38,19952,10231,104,RIGOTTI Maria (Helena),RIGOTTI_Maria.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,39,19949,10207,104,UEHLINGER Pascal,UEHLINGER_Pascal.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,40,19925,10256,104,BURRI Rémy,BURRI_Remy.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,41,19918,10228,104,PATEK Serge,PATEK_Serge.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,42,19914,10276,104,MEYER Philippe,MEYER_Philippe.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,43,19902,10235,104,SENGLET Christophe,SENGLET_Christophe.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,44,19899,10266,104,GRAND Eric,GRAND_Eric.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,45,19895,10252,104,BOUVIER Christine,BOUVIER_Christine.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,46,19857,10260,104,DÉROBERT Thierry,DEROBERT_Thierry.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,47,19855,10226,104,ORSINI Antoine,ORSINI_Antoine.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,48,19848,10249,104,BERSIER Julie,BERSIER_Julie.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,49,19845,10271,104,LÄMMEL Valérie (LAEMMEL-JUILLARD),LAMMEL_Valerie.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,50,19790,10236,104,SERRANO Philippe,SERRANO_Philippe.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,51,19760,10232,104,ROULLET Michèle,ROULLET_Michele.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,52,19757,10238,104,STEINER Matthieu,STEINER_Matthieu.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,53,19728,10233,104,SCHALLER Vincent,SCHALLER_Vincent.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,54,19722,10254,104,BRON Gilles-Olivier,BRON_Gilles-Olivier.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,55,19698,10273,104,LOCHER Jean,LOCHER_Jean.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,56,19670,10242,104,WICKI Guy,WICKI_Guy.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,57,19656,10251,104,BÖHLER Frances (BÖHLER-GOODSHIP Elizabeth),BOHLER_Frances.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,58,19653,10234,104,SCHNEEBELI Roland-Daniel,SCHNEEBELI_Roland-Daniel.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,59,19643,10259,104,DAHER Vincent,DAHER_Vincent.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,60,19641,10225,104,OPPLIGER Danielle,OPPLIGER_Danielle.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,61,19639,10237,104,SOMMER Monika,SOMMER_Monika.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,62,19604,10223,104,MORAND Louise,MORAND_Louise.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,63,19599,10240,104,TSCHOPP Laurent,TSCHOPP_Laurent.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,64,19597,10272,104,LEISER Jean-Marc,LEISER_Jean-Marc.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,65,19575,10244,104,AGRAMUNT Gian-Reto,AGRAMUNT_Gian-Reto.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,66,19560,10274,104,LUZZATTO Christine,LUZZATTO_Christine.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,67,19557,10267,104,GROGNUZ Fabien,GROGNUZ_Fabien.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,68,19525,10618,104,HARDYN Nathalie,HARDYN_Nathalie.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,69,19510,10246,104,AUBERT Nicolas,AUBERT_Nicolas.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,70,19479,10258,104,CREFFIELD Conrad,CREFFIELD_Conrad.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,71,19418,10275,104,MESSERLI Marie-Claire,MESSERLI_Marie-Claire.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,72,19399,10255,104,BRUNEL Mayori,BRUNEL_Mayori.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,73,19391,10265,104,GIACOBINO Donata (GIACOBINO-FROIDEVAUX Nadia),GIACOBINO_Donata.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,74,19367,10349,104,TABOADA Francisco,TABOADA_Francisco.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,75,19344,10250,104,BLANCH Richard-Pascal (Pascal),BLANCH_Richard-Pascal.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,76,19304,10269,104,JUD Philippe,JUD_Philippe.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,77,19213,10262,104,DOUZALS Jacques,DOUZALS_Jacques.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,78,19197,10257,104,CORNU Renate,CORNU_Renate.jpg,1
0,PLR,LIBÉRAUX-RADICAUX,79,19185,10230,104,RANA ZOLANA Ginior,RANA_ZOLANA_Ginior.jpg,0
0,PLR,LIBÉRAUX-RADICAUX,80,19171,10248,104,BELLINGERI Stefano Vito,BELLINGERI_Stefano_Vito.jpg,0
1,SOC,LES SOCIALISTES,1,18113,10006,103,APOTHÉLOZ Thierry,APOTHELOZ_Thierry.jpg,0
1,VERT,LES VERTS,1,17137,10008,102,HODGERS Antonio,HODGERS_Antonio.jpg,0
1,SOC,LES SOCIALISTES,2,16565,10005,103,EMERY-TORRACINTA Anne,EMERY-TORRACINTA_Anne.jpg,1
1,SOC,LES SOCIALISTES,3,16452,10152,103,KAST Carole-Anne,KAST_Carole-Anne.jpg,1
1,SOC,LES SOCIALISTES,4,16330,10007,103,SALERNO Sandrine,SALERNO_Sandrine.jpg,1
1,SOC,LES SOCIALISTES,5,14925,10154,103,MARTI Caroline,MARTI_Caroline.jpg,1
1,PDC,DÉMOCRATE-CHRÉTIEN,1,14406,10016,105,DAL BUSCO Serge,DAL_BUSCO_Serge.jpg,0
1,SOC,LES SOCIALISTES,6,14339,10157,103,DANDRÈS Christian,DANDRES_Christian.jpg,0
1,SOC,LES SOCIALISTES,7,14246,10165,103,RIELLE Jean Charles,RIELLE_Jean_Charles.jpg,0
1,VERT,LES VERTS,2,14167,10010,102,ROCHAT Yvan,ROCHAT_Yvan.jpg,0
1,MCG,MCG,1,14131,10012,111,POGGIA Mauro,POGGIA_Mauro.jpg,0
1,SOC,LES SOCIALISTES,8,14020,10151,103,DE SAINTE-MARIE Romain,DE_SAINTE-MARIE_Romain.jpg,0
1,SOC,LES SOCIALISTES,9,13678,10153,103,WENGER Thomas,WENGER_Thomas.jpg,0
1,SOC,LES SOCIALISTES,10,13557,10159,103,CARASSO Grégoire,CARASSO_Gregoire.jpg,0
1,SOC,LES SOCIALISTES,11,13532,10164,103,VALIQUER GRECUCCIO Nicole,VALIQUER_GRECUCCIO_Nicole.jpg,1
1,SOC,LES SOCIALISTES,12,13467,10161,103,THÉVOZ Sylvain,THEVOZ_Sylvain.jpg,0
1,SOC,LES SOCIALISTES,13,13362,10185,103,VELASCO Alberto,VELASCO_Alberto.jpg,0
1,SOC,LES SOCIALISTES,14,13353,10156,103,MOYARD MIZRAHI Salima,MOYARD_MIZRAHI_Salima.jpg,1
1,VERT,LES VERTS,3,13234,10009,102,DE CHASTONAY Marjorie,DE_CHASTONAY_Marjorie.jpg,1
1,SOC,LES SOCIALISTES,15,13123,10167,103,MIZRAHI Cyril,MIZRAHI_Cyril.jpg,0
1,SOC,LES SOCIALISTES,16,12859,10162,103,CONTI Jennifer,CONTI_Jennifer.jpg,1
1,SOC,LES SOCIALISTES,17,12806,10160,103,SOBANEK Marion,SOBANEK_Marion.jpg,1
0,SOC,LES SOCIALISTES,18,12797,10170,103,STRASSER Léna,STRASSER_Lena.jpg,1
0,SOC,LES SOCIALISTES,19,12744,10155,103,BANDLER Marko,BANDLER_Marko.jpg,0
0,SOC,LES SOCIALISTES,20,12658,10175,103,ESTEBAN Diego,ESTEBAN_Diego.jpg,0
0,SOC,LES SOCIALISTES,21,12618,10174,103,OSMANI Xhevrie,OSMANI_Xhevrie.jpg,1
0,SOC,LES SOCIALISTES,22,12567,10163,103,STAUB Martin,STAUB_Martin.jpg,0
0,SOC,LES SOCIALISTES,23,12529,10166,103,GAVILANES Amanda,GAVILANES_Amanda.jpg,1
0,SOC,LES SOCIALISTES,24,12417,10188,103,DEONNA Emmanuel,DEONNA_Emmanuel.jpg,0
0,SOC,LES SOCIALISTES,25,12391,10158,103,VERISSIMO DE FREITAS Helena,VERISSIMO_DE_FREITAS_Helena.jpg,1
0,SOC,LES SOCIALISTES,26,12332,10173,103,MUSSA Ahmed (Youniss),MUSSA_Ahmed.jpg,0
0,SOC,LES SOCIALISTES,27,12331,10180,103,LÜTHI Badia,LUTHI_Badia.jpg,1
1,VERT,LES VERTS,4,12318,10079,102,PERLER Frédérique,PERLER_Frederique.jpg,1
0,SOC,LES SOCIALISTES,28,12260,10181,103,CLEMENCE Nicolas,CLEMENCE_Nicolas.jpg,0
0,SOC,LES SOCIALISTES,29,12187,10171,103,KOKOT Guilhem,KOKOT_Guilhem.jpg,0
0,SOC,LES SOCIALISTES,30,12180,10176,103,BAILLON Glenna,BAILLON_Glenna.jpg,1
0,SOC,LES SOCIALISTES,31,12169,10172,103,ROMANO Maria (Maria Vittoria),ROMANO_Maria.jpg,1
0,SOC,LES SOCIALISTES,32,12145,10168,103,CASARES Maria Jesus,CASARES_Maria_Jesus.jpg,1
0,SOC,LES SOCIALISTES,33,12129,10179,103,CHIARADONNA Denis,CHIARADONNA_Denis.jpg,0
0,SOC,LES SOCIALISTES,34,12028,10169,103,POMATTO Michel,POMATTO_Michel.jpg,0
0,SOC,LES SOCIALISTES,35,12026,10182,103,VATRE Patricia,VATRE_Patricia.jpg,1
0,SOC,LES SOCIALISTES,36,11946,10187,103,DE BATTISTA Regis,DE_BATTISTA_Regis.jpg,0
0,SOC,LES SOCIALISTES,37,11943,10189,103,TOMBOLA Jean-Pierre,TOMBOLA_Jean-Pierre.jpg,0
0,SOC,LES SOCIALISTES,38,11915,10184,103,VIRET Dora (Cécilia),VIRET_Dora.jpg,1
1,VERT,LES VERTS,5,11874,10081,102,LEFORT François,LEFORT_Francois.jpg,0
1,VERT,LES VERTS,6,11860,10080,102,BUSCHBECK Mathias,BUSCHBECK_Mathias.jpg,0
0,SOC,LES SOCIALISTES,39,11854,10195,103,ALONSO UNICA Manuel,ALONSO_UNICA_Manuel.jpg,0
0,SOC,LES SOCIALISTES,40,11840,10192,103,BARRY Thierno,BARRY_Thierno.jpg,0
0,SOC,LES SOCIALISTES,41,11828,10186,103,FABRE Michel,FABRE_Michel.jpg,0
0,SOC,LES SOCIALISTES,42,11826,10196,103,BALDINI Frédéric,BALDINI_Frederic.jpg,0
0,SOC,LES SOCIALISTES,43,11820,10178,103,BRANDRUP Gladys (ACOSTA BRANDRUP),BRANDRUP_Gladys.jpg,1
0,SOC,LES SOCIALISTES,44,11792,10199,103,BURKHARD Roland,BURKHARD_Roland.jpg,0
0,SOC,LES SOCIALISTES,45,11787,10193,103,HALIMI Hysri,HALIMI_Hysri.jpg,0
0,SOC,LES SOCIALISTES,46,11770,10197,103,BRUCHEZ Thomas,BRUCHEZ_Thomas.jpg,0
0,SOC,LES SOCIALISTES,47,11761,10190,103,KEEL Theo,KEEL_Theo.jpg,0
0,SOC,LES SOCIALISTES,48,11714,10200,103,BOSSHARD Pierre Yves,BOSSHARD_Pierre_Yves.jpg,0
0,SOC,LES SOCIALISTES,49,11699,10183,103,ZIMMERMANN Michel,ZIMMERMANN_Michel.jpg,0
0,SOC,LES SOCIALISTES,50,11540,10191,103,LAPALUD Patrick,LAPALUD_Patrick.jpg,0
0,SOC,LES SOCIALISTES,51,11527,10198,103,BENDA Benjamin,BENDA_Benjamin.jpg,0
1,VERT,LES VERTS,7,11514,10082,102,LEONELLI Katia,LEONELLI_Katia.jpg,1
0,SOC,LES SOCIALISTES,52,11503,10194,103,GAJARDO MUNOZ Jorge,GAJARDO_MUNOZ_Jorge.jpg,0
0,SOC,LES SOCIALISTES,53,11496,10201,103,KURTESHI Ismet,KURTESHI_Ismet.jpg,0
0,SOC,LES SOCIALISTES,54,11483,10177,103,EYA NCHAMA Cruz Melchor,EYA_NCHAMA_Cruz_Melchor.jpg,0
1,VERT,LES VERTS,8,11477,10092,102,POGET Philippe,POGET_Philippe.jpg,0
1,VERT,LES VERTS,9,11441,10091,102,PASQUIER Isabelle (PASQUIER-EICHENBERGER),PASQUIER_Isabelle.jpg,1
1,VERT,LES VERTS,10,11357,10138,102,ECKERT Pierre,ECKERT_Pierre.jpg,0
1,VERT,LES VERTS,11,11293,10100,102,SORDET Adrienne,SORDET_Adrienne.jpg,1
1,VERT,LES VERTS,12,11261,10085,102,MARTIN David,MARTIN_David.jpg,0
1,VERT,LES VERTS,13,11248,10148,102,KLOPFENSTEIN BROGGINI Delphine,KLOPFENSTEIN_BROGGINI_Delphine.jpg,1
1,VERT,LES VERTS,14,11150,10096,102,ROSSIAUD Jean,ROSSIAUD_Jean.jpg,0
1,VERT,LES VERTS,15,11063,10105,102,TSCHUDI Paloma,TSCHUDI_Paloma.jpg,1
0,VERT,LES VERTS,16,11054,10089,102,ORIOLO Alessandra,ORIOLO_Alessandra.jpg,1
0,VERT,LES VERTS,17,11032,10116,102,BAVAREL Christian,BAVAREL_Christian.jpg,0
0,VERT,LES VERTS,17,11032,10131,102,DE MATTEIS Yves,DE_MATTEIS_Yves.jpg,0
0,VERT,LES VERTS,19,10965,10124,102,CALAME Boris,CALAME_Boris.jpg,0
0,VERT,LES VERTS,20,10963,10114,102,BÄNZIGER Ruth,BANZIGER_Ruth.jpg,1
0,VERT,LES VERTS,20,10963,10090,102,OZTÜRK Dilara,OZTURK_Dilara.jpg,1
0,VERT,LES VERTS,22,10931,10118,102,BONNY Didier,BONNY_Didier.jpg,0
0,VERT,LES VERTS,23,10917,10142,102,GOMEZ Alfonso,GOMEZ_Alfonso.jpg,0
0,VERT,LES VERTS,24,10887,10099,102,SCHAUFELBERGER Esther,SCHAUFELBERGER_Esther.jpg,1
1,PDC,DÉMOCRATE-CHRÉTIEN,2,10882,10017,105,BARTHASSAT Luc,BARTHASSAT_Luc.jpg,0
0,VERT,LES VERTS,25,10833,10133,102,DESBIOLLES Sophie,DESBIOLLES_Sophie.jpg,1
0,VERT,LES VERTS,26,10829,10139,102,FISCHER Fabienne,FISCHER_Fabienne.jpg,1
0,VERT,LES VERTS,27,10799,10083,102,MACCHIAVELLI Marta (Marta Julia),MACCHIAVELLI_Marta.jpg,1
0,VERT,LES VERTS,28,10712,10132,102,DE ROUGEMONT Philippe,DE_ROUGEMONT_Philippe.jpg,0
0,VERT,LES VERTS,29,10699,10086,102,MÜLLER SONTAG Corinne,MULLER_SONTAG_Corinne.jpg,1
0,VERT,LES VERTS,30,10657,10119,102,BONVIN BONFANTI Anne,BONVIN_BONFANTI_Anne.jpg,1
0,VERT,LES VERTS,31,10652,10093,102,QUIJANO GARCIA Maria (Maria José),QUIJANO_GARCIA_Maria.jpg,1
0,VERT,LES VERTS,32,10648,10102,102,TCHAMKERTEN Jolanka,TCHAMKERTEN_Jolanka.jpg,1
0,VERT,LES VERTS,33,10634,10087,102,NICOLET-DIT-FELIX Julien,NICOLET-DIT-FELIX_Julien.jpg,0
0,VERT,LES VERTS,34,10600,10145,102,HEBERLEIN SIMONETT Claudia,HEBERLEIN_SIMONETT_Claudia.jpg,1
0,VERT,LES VERTS,35,10595,10084,102,MAKOSSO William,MAKOSSO_William.jpg,0
0,VERT,LES VERTS,36,10582,10095,102,ROGG Catharina (Olowine),ROGG_Catharina.jpg,1
0,VERT,LES VERTS,37,10578,10117,102,BOCCARD Damien (Damien Baptiste),BOCCARD_Damien.jpg,0
1,PDC,DÉMOCRATE-CHRÉTIEN,3,10559,10280,105,VON ARX-VERNON Anne-Marie,VON_ARX-VERNON_Anne-Marie.jpg,1
0,VERT,LES VERTS,38,10526,10104,102,TINGUELY Dominique,TINGUELY_Dominique.jpg,0
0,VERT,LES VERTS,39,10514,10106,102,VAN WOERDEN Wendy,VAN_WOERDEN_Wendy.jpg,1
0,VERT,LES VERTS,40,10505,10088,102,NOËL Philippe,NOEL_Philippe.jpg,0
0,VERT,LES VERTS,41,10502,10094,102,RODRIGUEZ Mario,RODRIGUEZ_Mario.jpg,0
0,VERT,LES VERTS,42,10497,10125,102,CALAME Fabrice,CALAME_Fabrice.jpg,0
0,VERT,LES VERTS,43,10489,10111,102,AMSELLEM Benedicte (AMSELLEM-OSSIPOW),AMSELLEM_Benedicte.jpg,1
0,VERT,LES VERTS,44,10482,10147,102,KHAMIS VANNINI Uzma,KHAMIS_VANNINI_Uzma.jpg,1
0,VERT,LES VERTS,45,10471,10110,102,AMATO Maurice,AMATO_Maurice.jpg,0
0,VERT,LES VERTS,46,10459,10103,102,TIGUEMOUNINE Sabine,TIGUEMOUNINE_Sabine.jpg,1
0,VERT,LES VERTS,47,10450,10616,102,DE MAIO Sara,DE_MAIO_Sara.jpg,1
0,VERT,LES VERTS,48,10448,10120,102,BUCHER Denis,BUCHER_Denis.jpg,0
0,VERT,LES VERTS,49,10443,10144,102,HARTMANN Esther,HARTMANN_Esther.jpg,1
0,VERT,LES VERTS,50,10429,10143,102,HAAS François,HAAS_Francois.jpg,0
0,VERT,LES VERTS,51,10427,10128,102,CORPATAUX Laurence,CORPATAUX_Laurence.jpg,1
1,PDC,DÉMOCRATE-CHRÉTIEN,4,10425,10277,105,BUCHS Bertrand,BUCHS_Bertrand.jpg,0
0,VERT,LES VERTS,52,10421,10126,102,CHAUDIEU Anne,CHAUDIEU_Anne.jpg,1
0,VERT,LES VERTS,53,10401,10122,102,BUI Aurore,BUI_Aurore.jpg,1
0,VERT,LES VERTS,54,10335,10127,102,CONCHA Celtia,CONCHA_Celtia.jpg,1
0,VERT,LES VERTS,55,10332,10098,102,SCHALK Antoine,SCHALK_Antoine.jpg,0
0,VERT,LES VERTS,56,10324,10108,102,WISARD PRADO Leyma,WISARD_PRADO_Leyma.jpg,1
0,VERT,LES VERTS,57,10291,10097,102,SAA BAUD Yubitza,SAA_BAUD_Yubitza.jpg,1
0,VERT,LES VERTS,58,10278,10150,102,LATOUR Sabine,LATOUR_Sabine.jpg,1
0,VERT,LES VERTS,59,10274,10109,102,YUNUS EBENER Mariam (Maryam),YUNUS_EBENER_Mariam.jpg,1
0,VERT,LES VERTS,60,10272,10134,102,DESCOMBES Isabelle,DESCOMBES_Isabelle.jpg,1
